crop_code,Main_use_aggregated,Detailed_use_aggregated,Used_part_aggregated
4538,"food & beverage, material","minerals, timber wood, vitamins","bark, fruits"
4544,animal food (feed),"minerals, vitamins",entire plant
4548,"fuels, material, medicinal","dye/tannin, fuelwood, gums/resins, timber wood, Unspecified","bark, flowers, leaves, stems"
45598,"environmental, fuels, medicinal","charcoal, fuelwood, immune system applications, ornamental/turf","bark, entire plant, leaves, roots"
4563,"environmental, material, medicinal","agroforestry, blood system applications, dye/tannin, immune system applications, nervous system applications","entire plant, stems"
4564,"environmental, material, poison","agroforestry, dye/tannin, Unspecified","entire plant, stems"
4565,"environmental, material, medicinal, poison","agroforestry, dye/tannin, immune system applications, Unspecified","entire plant, stems"
4567,"food additive, material","condiment/seasoning, essential oils",stems
4568,"food additive, material, medicinal","condiment/seasoning, cosmetics & perfumery, essential oils, immune system applications, nervous system applications","fruits, stems"
4570,"food additive, material, medicinal","condiment/seasoning, essential oils, Unspecified","stems, Unspecified, unspecified part"
45894,"animal food (feed), environmental, food & beverage, material, medicinal, non-vertebrate food, poison","blood system applications, digestive system applications, dye/tannin, fibres, genitourinary system applications, gums/resins, immune system applications, insects, lipids/oil & fats, living fence, minerals, muscular/skeletal applications, ornamental/turf, protein, sensory applications, shade & shelter, timber wood, vitamins","bark, entire plant, fruits, leaves, seeds, stems"
459,"animal food (feed), environmental, food & beverage, food additive, fuels, material, medicinal","agroforestry, condiment/seasoning, digestive system applications, dye/tannin, fuelwood, latex/rubber, minerals, nervous system applications, nutritional applications, protein, shade & shelter, skin applications, timber wood, vitamins","bark, entire plant, exudates, fruits, leaves, roots, seeds, stems"
4617,"environmental, food & beverage, food additive, material, medicinal","condiment/seasoning, cosmetics & perfumery, digestive system applications, minerals, nervous system applications, ornamental/turf, respiratory applications, skin applications, vitamins","entire plant, fruits, leaves"
4618,"environmental, food & beverage, food additive, fuels, material, medicinal, poison","blood system applications, condiment/seasoning, digestive system applications, endocrine system applications, erosion control, genitourinary system applications, insects, lipids, lipids/oil & fats, mammals, minerals, muscular/skeletal applications, non-wood fuel, protein","entire plant, fruits, leaves, roots, seeds"
4626,food & beverage,"minerals, vitamins",fruits
4631,food & beverage,"minerals, vitamins",fruits
4635,"environmental, food & beverage, food additive, material","agroforestry, condiment/seasoning, honey, minerals, vitamins","entire plant, flowers, fruits"
4646,food & beverage,"minerals, vitamins",fruits
465,"animal food (feed), food & beverage, material, medicinal","canes, digestive system applications, minerals, respiratory applications, starch","bark, leaves, roots"
4659,"environmental, food & beverage, medicinal","digestive system applications, living fence, minerals, respiratory applications, skin applications, vitamins","entire plant, fruits, leaves, roots"
4665,animal food (feed),"minerals, vitamins",entire plant
4666,animal food (feed),"minerals, vitamins",entire plant
